Price min value,Price for each machine,Time
2192/1000,"[283/1000, 283/1000, 582/1000, 0/1000, 283/1000, 761/1000]",5.138021945953369
2192/1000,"[0/1000, 283/1000, 283/1000, 283/1000, 761/1000, 582/1000]",5.598513841629028
