False,False,False,False,False,False,False,False,False,False,False
Price min value,Price for each machine,Time
2033/1000,"[379, 128, 128, 379, 128, 128, 128, 128, 379, 128]",45.087682485580444
2033/1000,"[379, 379, 128, 379, 128, 128, 128, 128, 128, 128]",45.6364049911499
2033/1000,"[128, 128, 128, 128, 379, 128, 128, 379, 379, 128]",68.82403802871704
2033/1000,"[379, 379, 128, 128, 128, 128, 128, 379, 128, 128]",35.096426248550415
2033/1000,"[379, 128, 379, 379, 128, 128, 128, 128, 128, 128]",55.706010818481445
