False,False,False,False,False,False,False,False,False,False,False
Price min value,Price for each machine,Time
54912/1000,"[0, 9152, 9152, 9152, 9152, 0, 0, 9152, 0, 9152, 0]",25.05181860923767
54912/1000,"[0, 9152, 9152, 9152, 0, 0, 9152, 0, 0, 9152, 9152]",12.821020603179932
54912/1000,"[9152, 9152, 0, 0, 9152, 0, 0, 9152, 9152, 9152, 0]",11.414521217346191
54912/1000,"[9152, 9152, 0, 0, 9152, 9152, 0, 0, 9152, 9152, 0]",14.66974425315857
54912/1000,"[9152, 0, 9152, 0, 9152, 0, 9152, 0, 9152, 9152, 0]",13.0263671875
