True,False,False,False,False,False,False,False,True,False,False,False,False,False
Price min value,Price for each machine,Time
2.676,"[0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.252, 0.128, 0.128, 0.128, 0.128, 0.128, 0.252, 0.252]",22.66973900794983
2.676,"[0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.252, 0.252, 0.128, 0.128, 0.252, 0.128, 0.128]",19.16021203994751
2.676,"[0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.252, 0.128, 0.128, 0.252, 0.128, 0.128, 0.128, 0.252, 0.128]",22.102943181991577
