Price min value,Price for each machine,Time
54.912,"[9.152, 9.152, 9.152, 9.152, 9.152, 9.152, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5168161392211914
54.912,"[9.152, 9.152, 9.152, 9.152, 9.152, 9.152, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6001558303833008
54.912,"[9.152, 9.152, 9.152, 9.152, 9.152, 9.152, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4470047950744629
