True,False,False,True,False,False,False,False,False,False,False,False,False,False
Price min value,Price for each machine,Time
2.142,"[0.126, 0.21, 0.126, 0.21, 0.126, 0.126, 0.126, 0.21, 0.126, 0.126, 0.126, 0.126, 0.126, 0.126, 0.126]",1655.8855290412903
2.142,"[0.126, 0.126, 0.126, 0.126, 0.126, 0.126, 0.126, 0.126, 0.126, 0.21, 0.126, 0.21, 0.126, 0.21, 0.126]",1523.7778198719025
2.142,"[0.21, 0.126, 0.126, 0.21, 0.126, 0.126, 0.126, 0.126, 0.126, 0.21, 0.126, 0.126, 0.126, 0.126, 0.126]",2621.125736951828
