True,True,False,True,False,False,False,False,False,False,False
Price min value,Price for each machine,Time
3057/1000,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 379, 379, 379, 128, 128, 128, 128, 128, 128]",1.0799555778503418
3057/1000,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 379, 379, 379, 128, 128, 128, 128, 128, 128]",1.2972607612609863
3057/1000,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 379, 379, 379, 128, 128, 128, 128, 128, 128]",1.444516897201538
