Symmetry Breaking option,
Price min value,Price for each machine,Time
0.882,"[0.126, 0.21, 0.21, 0.21, 0.126]",1.9384071826934814
0.882,"[0.21, 0.21, 0.126, 0.21, 0.126]",1.7715237140655518
0.882,"[0.21, 0.126, 0.21, 0.21, 0.126]",2.0338358879089355
