Symmetry Breaking option,
Price min value,Price for each machine,Time
1.582,"[0.532, 0.21, 0.21, 0.21, 0.42, 0.0]",16.840579986572266
1.582,"[0.21, 0.21, 0.42, 0.0, 0.532, 0.21]",15.895756721496582
1.582,"[0.21, 0.21, 0.42, 0.532, 0.0, 0.21]",16.94225001335144
