Solver;Use case;Sym breaking;#offers;#vars;#constraints;time
Z3;Wordpress10;PR;250;200;5543;492.0916805267334
Z3;Wordpress10;PR;500;200;10543;2400
Z3;Wordpress11;PR;20;220;1036;27.237653255462646
Z3;Wordpress11;PR;40;220;1476;216.74394369125366
Z3;Wordpress11;PR;250;220;6096;2078.363980293274
Z3;Wordpress11;PR;500;0;0;2400
Z3;Wordpress12;PR;20;230;1083;28.434858560562134
Z3;Wordpress12;PR;40;230;1543;225.29635763168335
Z3;Wordpress12;PR;250;230;6373;1755.924046754837
Z3;Wordpress12;PR;500;0;0;2400
Z3;Oryx 2;LX;20;165;730;0.33492398262023926
Z3;Oryx 2;LX;40;165;950;1.2650518417358398
Z3;Oryx 2;LX;250;165;3260;10.754012107849121
Z3;Oryx 2;LX;500;165;6010;39.01543998718262
Z3;SecureBillingEmail;LX;20;50;237;0.15975022315979004
Z3;SecureBillingEmail;LX;40;50;337;0.438525915145874
Z3;SecureBillingEmail;LX;250;50;1387;2.612161874771118
Z3;SecureBillingEmail;LX;500;50;2637;7.70821213722229
Z3;SecureWebContainer;LX;20;60;310;0.15541410446166992
Z3;SecureWebContainer;LX;40;60;430;0.5986959934234619
Z3;SecureWebContainer;LX;250;60;1690;3.3455963134765625
Z3;SecureWebContainer;LX;500;60;3190;6.702375888824463
Z3;Wordpress3;LX;20;80;410;0.32486796379089355
Z3;Wordpress3;LX;40;80;570;1.153568983078003
Z3;Wordpress3;LX;250;80;2250;7.098653078079224
Z3;Wordpress3;LX;500;80;4250;29.447376012802124
Z3;Wordpress4;LX;20;100;510;0.5930109024047852
Z3;Wordpress4;LX;40;100;710;2.090909004211426
Z3;Wordpress4;LX;250;100;2810;13.647672891616821
Z3;Wordpress4;LX;500;100;5310;54.50003528594971
Z3;Wordpress5;LX;20;120;610;0.8759422302246094
Z3;Wordpress5;LX;40;120;850;2.980531930923462
Z3;Wordpress5;LX;250;120;3370;18.115657091140747
Z3;Wordpress5;LX;500;120;6370;77.51454210281372
Z3;Wordpress6;LX;20;130;660;1.1675891876220703
Z3;Wordpress6;LX;40;130;920;4.498311996459961
Z3;Wordpress6;LX;250;130;3650;24.254438161849976
Z3;Wordpress6;LX;500;130;6900;117.47041821479797
Z3;Wordpress7;LX;20;150;760;1.6842360496520996
Z3;Wordpress7;LX;40;150;1060;6.05319619178772
Z3;Wordpress7;LX;250;150;4210;40.69882869720459
Z3;Wordpress7;LX;500;150;7960;140.93489599227905
Z3;Wordpress8;LX;20;170;860;2.5572590827941895
Z3;Wordpress8;LX;40;170;1200;13.061463832855225
Z3;Wordpress8;LX;250;170;4770;107.47904896736145
Z3;Wordpress8;LX;500;170;9020;302.5385949611664
Z3;Wordpress9;LX;20;180;910;3.335099935531616
Z3;Wordpress9;LX;40;180;1270;16.5034339427948
Z3;Wordpress9;LX;250;180;5050;111.81198120117188
Z3;Wordpress9;LX;500;180;9550;396.4502069950104
Z3;Wordpress10;LX;20;200;1010;4.302304983139038
Z3;Wordpress10;LX;40;200;1410;21.933653831481934
Z3;Wordpress10;LX;250;200;5610;126.13870787620544
Z3;Wordpress10;LX;500;200;10610;467.52423119544983
Z3;Wordpress11;LX;20;220;1110;5.453646898269653
Z3;Wordpress11;LX;40;220;1550;28.962138891220093
Z3;Wordpress11;LX;250;220;6170;155.49302506446838
Z3;Wordpress11;LX;500;220;11670;436.15615797042847
Z3;Wordpress12;LX;20;230;1160;5.552765846252441
Z3;Wordpress12;LX;40;230;1620;32.68921208381653
Z3;Wordpress12;LX;250;230;6450;188.8634490966797
Z3;Wordpress12;LX;500;230;12200;690.1722159385681
Z3;Oryx 2;FV;20;165;636;0.7221710681915283
Z3;Oryx 2;FV;40;165;856;1.3379905223846436
Z3;Oryx 2;FV;250;165;3166;16.52817940711975
Z3;Oryx 2;FV;500;165;5916;84.40665197372437
Z3;SecureBillingEmail;FV;20;50;229;0.08950185775756836
Z3;SecureBillingEmail;FV;40;50;329;0.2677304744720459
Z3;SecureBillingEmail;FV;250;50;1379;0.763641357421875
Z3;SecureBillingEmail;FV;500;50;2629;1.9191722869873047
Z3;SecureWebContainer;FV;20;60;303;0.15774106979370117
Z3;SecureWebContainer;FV;40;60;423;0.3650848865509033
Z3;SecureWebContainer;FV;250;60;1683;1.5170845985412598
Z3;SecureWebContainer;FV;500;60;3183;2.365635871887207
Z3;Wordpress3;FV;20;80;384;0.47707486152648926
Z3;Wordpress3;FV;40;80;544;1.0931437015533447
Z3;Wordpress3;FV;250;80;2224;12.569973230361938
Z3;Wordpress3;FV;500;80;4224;24.355321407318115
Z3;Wordpress4;FV;20;100;477;0.5785133838653564
Z3;Wordpress4;FV;40;100;677;2.7317333221435547
Z3;Wordpress4;FV;250;100;2777;49.83820390701294
Z3;Wordpress4;FV;500;100;5277;160.99824690818787
Z3;Wordpress5;FV;20;120;570;1.1085209846496582
Z3;Wordpress5;FV;40;120;810;5.841043710708618
Z3;Wordpress5;FV;250;120;3330;167.88326478004456
Z3;Wordpress5;FV;500;120;6330;787.0741794109344
Z3;Wordpress6;FV;20;130;618;1.641481876373291
Z3;Wordpress6;FV;40;130;878;6.105731725692749
Z3;Wordpress6;FV;250;130;3608;853.8715300559998
Z3;Wordpress6;FV;500;0;0;2400
Z3;Wordpress7;FV;20;150;711;2.3179993629455566
Z3;Wordpress7;FV;40;150;1011;19.296128273010254
Z3;Wordpress7;FV;250;150;4161;2400
Z3;Wordpress7;FV;500;0;0;2400
Z3;Wordpress8;FV;20;170;804;15.249731063842773
Z3;Wordpress8;FV;40;170;1144;174.09473943710327
Z3;Wordpress8;FV;250;0;0;2400
Z3;Wordpress8;FV;500;0;0;2400
Z3;Wordpress9;FV;20;180;852;23.957141399383545
Z3;Wordpress9;FV;40;180;1212;202.33974051475525
Z3;Wordpress9;FV;250;0;0;2400
Z3;Wordpress9;FV;500;0;0;2400
Z3;Wordpress10;FV;20;200;945;71.7077739238739
Z3;Wordpress10;FV;40;200;1345;1008.3024709224701
Z3;Wordpress10;FV;250;0;0;2400
Z3;Wordpress10;FV;500;0;0;2400
Z3;Wordpress11;FV;20;220;1038;253.62196111679077
Z3;Wordpress11;FV;40;220;1478;2328.6062042713165
Z3;Wordpress11;FV;250;0;0;2400
Z3;Wordpress11;FV;500;0;0;2400
Z3;Wordpress12;FV;20;230;1086;239.09193181991577
Z3;Wordpress12;FV;40;230;1546;2400
Z3;Wordpress12;FV;250;0;0;2400
Z3;Wordpress12;FV;500;0;0;2400
