Symmetry Breaking option,sb_fix_var_price_vm_load_lex
Price min value,Price for each machine,Time
1.012,"[252.0, 252.0, 252.0, 128.0, 128.0]",0.3084900379180908
Symmetry Breaking option,sb_fix_var_price_vm_load_lex
Price min value,Price for each machine,Time
1.012,"[252.0, 252.0, 252.0, 128.0, 128.0]",0.307283878326416
Symmetry Breaking option,sb_fix_var_price_vm_load_lex
Price min value,Price for each machine,Time
1.012,"[252.0, 252.0, 252.0, 128.0, 128.0]",0.3088870048522949
