Symmetry Breaking option,sb_fix_var_price_vm_load_lex
Price min value,Price for each machine,Time
54.912,"[9152.0, 9152.0, 9152.0, 9152.0, 9152.0, 9152.0, 0, 0, 0, 0, 0]",0.745326042175293
Symmetry Breaking option,sb_fix_var_price_vm_load_lex
Price min value,Price for each machine,Time
54.912,"[9152.0, 9152.0, 9152.0, 9152.0, 9152.0, 9152.0, 0, 0, 0, 0, 0]",0.7422099113464355
Symmetry Breaking option,sb_fix_var_price_vm_load_lex
Price min value,Price for each machine,Time
54.912,"[9152.0, 9152.0, 9152.0, 9152.0, 9152.0, 9152.0, 0, 0, 0, 0, 0]",0.7369310855865479
