Symmetry Breaking option,sb_fix_var_price_vm_load_lex
Price min value,Price for each machine,Time
2.676,"[252.0, 1288.0, 252.0, 632.0, 252.0, 0]",0.24631500244140625
Symmetry Breaking option,sb_fix_var_price_vm_load_lex
Price min value,Price for each machine,Time
2.676,"[252.0, 1288.0, 252.0, 632.0, 252.0, 0]",0.2521231174468994
Symmetry Breaking option,sb_fix_var_price_vm_load_lex
Price min value,Price for each machine,Time
2.676,"[252.0, 1288.0, 252.0, 632.0, 252.0, 0]",0.24484705924987793
