True,True,False,False,False,False,False,False,False,False,False
Price min value,Price for each machine,Time
3276/1000,"[252, 252, 252, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126]",566.8204469680786
3276/1000,"[252, 252, 252, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126]",600.8450894355774
3276/1000,"[252, 252, 252, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126]",778.4078907966614
