True,False,False,False,True,False,False,False,False,False,False,False,False,False
Price min value,Price for each machine,Time
2.292,"[0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.252, 0.252, 0.252]",5.457838773727417
2.292,"[0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.252, 0.252, 0.252]",6.2701027393341064
2.292,"[0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.252, 0.252, 0.252]",6.761054039001465
