Symmetry Breaking option,sb_vm_load
Price min value,Price for each machine,Time
1.582,"[0.21, 0.21, 0.42, 0.532, 0.21, 0.0]",5.282753944396973
1.582,"[0.42, 0.21, 0.21, 0.21, 0.532, 0.0]",4.1495041847229
1.582,"[0.42, 0.21, 0.21, 0.21, 0.532, 0.0]",7.8841331005096436
