Symmetry Breaking option,sb_vm_load
Price min value,Price for each machine,Time
1.622,"[0.46, 0.21, 0.21, 0.21, 0.532, 0.0]",3.1114718914031982
1.622,"[0.21, 0.46, 0.21, 0.21, 0.532, 0.0]",2.898392915725708
1.622,"[0.21, 0.46, 0.21, 0.21, 0.532, 0.0]",2.5906009674072266
