Symmetry Breaking option,sb_vm_load
Price min value,Price for each machine,Time
2.548,"[0.128, 0.128, 0.128, 0.128, 0.252, 0.128, 0.252, 0.128, 0.128, 0.128, 0.252, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128]",2358.571725845337
2.548,"[0.252, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.252, 0.128, 0.128, 0.128, 0.128, 0.128, 0.252, 0.128, 0.128, 0.128]",5801.363286018372
-1,,
