False,True,False,False,False,False,False,False,False,False,False,False,False,False
Price min value,Price for each machine,Time
2.022,"[0.21, 0.21, 0.21, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116]",40.0275559425354
2.022,"[0.21, 0.21, 0.21, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116]",38.96182823181152
2.022,"[0.21, 0.21, 0.21, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116]",38.221961975097656
