Price min value,Price for each machine,Time
10145/1000,"[379/1000, 146/1000, 2808/1000, 146/1000, 146/1000, 146/1000, 2808/1000, 379/1000, 2808/1000, 379/1000]",11.13979172706604
10145/1000,"[379/1000, 379/1000, 2808/1000, 2808/1000, 146/1000, 146/1000, 2808/1000, 146/1000, 379/1000, 146/1000]",11.886279821395874
