Symmetry Breaking option,sb_price_lex
Price min value,Price for each machine,Time
2.676,"[1288.0, 632.0, 252.0, 252.0, 252.0, 0]",9.7744722366333
Symmetry Breaking option,sb_price_lex
Price min value,Price for each machine,Time
2.676,"[1288.0, 632.0, 252.0, 252.0, 252.0, 0]",9.7361900806427
Symmetry Breaking option,sb_price_lex
Price min value,Price for each machine,Time
2.676,"[1288.0, 632.0, 252.0, 252.0, 252.0, 0]",9.683991193771362
