strategy,Oryx 2, ,,,,,,,SecureBillingEmail, ,,,,,,,SecureWebContainer, ,,,,,,,Wordpress3, ,,,,,,,Wordpress4, ,,,,,,,Wordpress5, ,,,,,,,Wordpress6, ,,,,,,,Wordpress7, ,,,,,,,Wordpress8, ,,,,,,,Wordpress9, ,,,,,,,Wordpress10, ,,,,,,,Wordpress11, ,,,,,,,Wordpress12, ,,,,,,
,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,
,Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs)
L,{'54.912'},0.372009993,{'54.912'},1.296322823,{'26.4'},710.8130851,{'26.4'},2400.069269,{'1.416'},0.376397133,{'1.012'},2.061217785,{'0.882'},769.9803011,{'0.862'},2401.173158,{'3.759'},3.212493181,{'2.676'},19.69735909,{'1.622'},2403.515654,,,{'1.777'},5.659461021,{'1.396'},2400.017563,{'1.384'},2402.687618,,,{'2.033'},21.50192714,,,,,,,{'2.289'},50.88240576,,,,,,,{'2.417'},15.28531599,,,,,,,{'2.673'},56.95116901,,,,,,,{'2.929'},195.0035841,,,,,,,{'3.057'},118.8364291,,,,,,,{'3.313'},2402.661903,,,,,,,,,,,,,,,,,,,,,,
LX,{'54.912'},0.099321842,{'54.912'},0.18749404,{'26.4'},29.99374413,{'26.4'},432.0179088,{'1.416'},0.121614218,{'1.012'},0.913122892,{'0.882'},870.952487,{'0.94'},2400.038797,{'3.759'},0.163520098,{'2.676'},0.501003027,{'1.622'},675.9075201,{'1.582'},2400.04954,{'1.777'},0.769198656,{'1.396'},26.858217,{'1.635'},2400.299939,,,{'2.033'},3.464565992,{'1.652'},132.393898,,,,,{'2.289'},3.755510092,{'1.908'},2401.090717,,,,,{'2.417'},9.198813915,,,,,,,{'2.673'},5.181162834,,,,,,,{'2.929'},14.8077383,,,,,,,{'3.057'},21.250808,,,,,,,{'3.313'},7.951111078,,,,,,,{'3.569'},36.23144603,,,,,,,{'3.697'},25.55353332,,,,,,
PR,{'54.912'},0.068289042,{'54.912'},0.262746096,{'26.4'},9.974900246,{'26.4'},477.377912,{'1.416'},0.111799002,{'1.012'},0.725976944,{'0.882'},228.5180569,{'0.862'},1739.941327,{'3.759'},0.573186159,{'2.676'},4.681217194,{'1.622'},2402.508628,,,{'1.777'},0.247869015,{'1.396'},2.473801851,{'1.26'},1451.644004,{'2.11'},4069.981604,{'2.033'},0.481043339,{'1.652'},4.398710012,{'1.764'},2407.314519,,,{'2.289'},1.245236158,{'1.908'},6.628601789,,,,,{'2.417'},0.593572855,{'2.036'},12.64172983,,,,,{'2.673'},0.946775913,{'2.292'},35.60220313,,,,,{'2.929'},1.84700799,{'2.548'},56.38524103,,,,,{'3.057'},1.154794931,{'2.676'},67.17883873,,,,,{'3.313'},2.367864132,{'2.932'},220.8576899,,,,,{'3.569'},2.248599052,{'3.188'},74.01099896,,,,,{'3.697'},2.045269966,{'3.316'},134.1024561,,,,
FVL,{'54.912'},0.079042912,{'54.912'},0.210241795,{'26.4'},54.73484516,{'26.4'},2400.988193,{'1.416'},0.060651064,{'1.012'},0.473233223,{'0.882'},41.71504426,{'0.862'},750.2774169,{'3.759'},0.115926027,{'2.676'},0.301437855,{'1.622'},161.4896424,{'1.582'},2757.021251,{'1.777'},1.492826223,{'1.396'},116.390774,{'1.595'},2402.705004,,,{'2.033'},5.134842157,{'1.652'},2401.136103,,,,,{'2.289'},4.081701994,,,,,,,{'2.417'},4.743817091,,,,,,,{'2.673'},11.84501076,,,,,,,{'2.929'},20.62726307,,,,,,,{'3.057'},90.15078783,,,,,,,{'3.313'},14.03169417,,,,,,,{'3.569'},522.9172421,,,,,,,{'3.697'},340.2818062,,,,,,
FVLX,{'54.912'},0.124935865,{'54.912'},0.151493073,{'26.4'},27.66156697,{'26.4'},518.1917157,{'1.416'},0.089236975,{'1.012'},0.333132982,{'0.882'},50.64739776,{'0.862'},1681.881073,{'3.759'},0.098589897,{'2.676'},0.306914091,{'1.622'},186.906692,{'1.874'},2966.868656,{'1.777'},1.586966991,{'1.396'},12.30263829,{'1.344'},2402.759775,,,{'2.033'},1.63045311,{'1.652'},82.83606315,,,,,{'2.289'},4.651243925,{'1.908'},1241.421312,,,,,{'2.417'},5.983120918,{'2.036'},2400.98762,,,,,{'2.673'},13.98517323,,,,,,,{'2.929'},21.29658484,,,,,,,{'3.057'},10.91194892,,,,,,,{'3.313'},20.49687696,,,,,,,{'3.569'},140.2688258,,,,,,,{'3.697'},37.77343202,,,,,,
FVPR,{'54.912'},0.051944017,{'54.912'},0.089200258,{'26.4'},4.310688019,{'26.4'},94.235286,{'1.416'},0.084866762,{'1.012'},0.356053114,{'0.882'},43.28954887,{'0.862'},2082.630422,{'3.759'},0.176967859,{'2.676'},0.527657986,{'1.622'},1303.869064,{'1.582'},2401.702709,{'1.777'},0.34672904,{'1.396'},2.84299016,{'1.26'},2400.046605,,,{'2.033'},0.534003973,{'1.652'},9.544941187,{'2.098'},2404.267452,,,{'2.289'},1.101238012,{'1.908'},11.13884783,{'2.776'},2402.412395,,,{'2.417'},0.877717018,{'2.036'},9.925163746,{'2.945'},2401.221709,,,{'2.673'},1.825837851,{'2.292'},17.29153681,{'13.325'},2401.008931,,,{'2.929'},2.448759079,{'2.548'},17.22149491,,,,,{'3.057'},1.761667728,{'2.676'},33.35012197,,,,,{'3.313'},2.322890997,{'2.932'},21.26303792,,,,,{'3.569'},3.311851978,{'3.188'},27.33692622,,,,,{'3.697'},2.720014095,{'3.316'},30.0912199,,,,
LLX,{'54.912'},0.654625177,{'54.912'},4.673071861,{'26.4'},2325.227626,{'26.4'},2401.237412,{'1.416'},0.303145885,{'1.012'},1.395539045,{'0.882'},772.6011739,{'0.956'},2406.699673,{'3.759'},1.012858152,{'2.676'},3.077674866,{'1.622'},1745.806993,{'1.582'},2403.186247,{'1.777'},1.079663992,{'1.396'},19.42843485,{'1.808'},2402.988871,,,{'2.033'},3.394696236,{'1.652'},234.9441512,{'2.017'},2403.125144,,,{'2.289'},8.506083727,{'1.908'},1828.386515,,,,,{'2.417'},6.056635141,{'2.036'},2400.023298,,,,,{'2.673'},5.616822958,,,,,,,{'2.929'},29.19712424,,,,,,,{'3.057'},26.55196285,,,,,,,{'3.313'},32.76328611,,,,,,,{'3.569'},50.79796195,,,,,,,{'3.697'},47.60677195,,,,,,
LPR,{'54.912'},0.229568005,{'54.912'},1.632197857,{'26.4'},154.5599849,{'26.4'},2282.192963,{'1.416'},0.296006203,{'1.012'},1.016014099,{'0.882'},757.623414,{'0.862'},2401.249112,{'3.759'},0.87693429,{'2.676'},5.314867973,{'1.622'},2402.39926,{'1.687'},3390.075709,{'1.777'},0.594756842,{'1.396'},5.324178934,{'7.399'},2416.476945,,,{'2.033'},1.556380033,{'1.652'},42.77007318,{'1.512'},2401.012623,,,{'2.289'},1.961515903,{'1.908'},106.1673472,,,,,{'2.44'},1.567470074,{'2.036'},49.12096882,,,,,{'2.673'},5.016449928,{'2.292'},2400.025395,,,,,{'2.929'},8.782483816,,,,,,,{'3.057'},5.790205956,,,,,,,{'3.313'},19.36226416,,,,,,,{'3.569'},14.50861382,,,,,,,{'3.697'},25.01883197,,,,,,
PRL,{'54.912'},0.167792797,{'54.912'},0.249751806,{'26.4'},34.04418492,{'26.4'},1747.828365,{'1.416'},0.141462803,{'1.012'},0.748540163,{'0.882'},84.87828112,{'0.862'},1651.50523,{'3.759'},0.587372065,{'2.676'},6.703270912,{'1.622'},2400.53716,,,{'1.777'},0.379746914,{'1.396'},2.567673922,{'1.26'},1275.762761,{'1.98'},4392.11903,{'2.033'},0.862529993,{'1.652'},3.545360804,{'1.512'},2400.04689,,,{'2.289'},1.397030115,{'1.908'},8.998366833,,,,,{'2.417'},1.777276754,{'2.036'},14.641258,,,,,{'2.673'},2.33753705,{'2.292'},18.62585902,,,,,{'2.929'},1.444433928,{'2.548'},21.22097206,,,,,{'3.057'},1.131433249,{'2.676'},24.69531536,,,,,{'3.313'},2.384418011,{'2.932'},39.25327325,,,,,{'4.051'},2.401710033,{'3.188'},35.34657383,,,,,{'3.697'},2.893838167,{'3.316'},52.75000978,,,,
PRLX,{'54.912'},0.417309761,{'54.912'},1.371928215,{'26.4'},29.33565712,{'26.4'},1670.474398,{'1.416'},0.456581831,{'1.012'},1.088212967,{'0.882'},182.3171599,{'0.94'},2400.903106,{'3.759'},1.153537035,{'2.676'},9.774472237,{'1.622'},2332.377235,{'2.559'},6953.064169,{'1.777'},0.594285011,{'1.396'},3.473305941,{'1.63'},2400.023706,,,{'2.033'},2.398382902,{'1.652'},17.4076581,,,,,{'2.358'},3.152068853,{'1.908'},18.06015301,,,,,{'3.019'},2.517978907,{'2.036'},32.62907696,,,,,{'3.011'},3.172040939,{'2.292'},76.13540506,,,,,{'2.929'},5.028373957,{'2.548'},74.58853889,,,,,{'3.057'},4.005595922,{'2.676'},76.00809908,,,,,{'3.467'},4.446425915,{'2.932'},88.38648701,,,,,{'3.569'},8.415534735,{'3.188'},149.872396,,,,,{'3.697'},7.203728914,{'3.316'},105.3702178,,,,
FVLLX,{'54.912'},0.214797974,{'54.912'},0.545879126,{'26.4'},161.2155991,{'26.4'},2400.055815,{'1.416'},0.081231117,{'1.012'},0.416193008,{'0.882'},125.0407472,{'0.862'},1885.712224,{'3.759'},0.103487015,{'2.676'},0.342015982,{'1.622'},24.43979001,{'1.582'},146.9765451,{'1.777'},1.044997215,{'1.396'},32.52910304,{'1.531'},2401.010707,,,{'2.033'},3.095074177,{'1.652'},307.619621,{'2.291'},2402.674314,,,{'2.289'},12.93194103,{'1.908'},2401.207868,,,,,{'2.417'},4.972378254,,,,,,,{'2.673'},14.31365108,,,,,,,{'2.929'},9.581112146,,,,,,,{'3.057'},18.51614213,,,,,,,{'3.313'},29.73237586,,,,,,,{'3.569'},27.36007714,,,,,,,{'3.697'},31.32358503,,,,,,
FVLPR,{'54.912'},0.094166994,{'54.912'},0.125664949,{'26.4'},130.188107,{'26.4'},2400.04082,{'1.416'},0.077435017,{'1.012'},0.471353054,{'0.882'},48.1378181,{'0.862'},2400.051608,{'3.759'},0.099858999,{'2.676'},0.593681335,{'1.622'},11.39371204,{'1.582'},119.0780141,{'1.777'},0.824908018,{'1.396'},10.20694494,{'1.538'},2401.144265,,,{'2.069'},1.287600279,{'1.652'},127.6036241,{'1.941'},2404.266902,,,{'2.289'},2.647687912,{'1.908'},488.414206,,,,,{'2.417'},2.748336792,{'2.036'},2400.019785,,,,,{'2.673'},3.76859808,{'2.292'},2400.024496,,,,,{'2.929'},13.91408992,{'2.548'},2400.025573,,,,,{'3.057'},5.321026802,{'2.676'},2400.726654,,,,,{'3.313'},13.07098508,,,,,,,{'3.569'},21.67024684,,,,,,,{'3.697'},20.92833209,,,,,,
LPRLX,{'54.912'},0.675493956,{'54.912'},5.313664913,{'26.4'},2259.650718,{'26.4'},2403.624812,{'1.416'},0.488765955,{'1.012'},2.09884119,{'0.882'},441.4156449,{'0.898'},2400.416162,{'3.759'},1.062125921,{'2.676'},9.744971752,{'1.674'},2486.776181,{'1.582'},2400.548726,{'1.777'},3.342374086,{'1.396'},8.53430295,{'1.511'},2403.101133,,,{'2.033'},3.725288868,{'1.652'},2400.020525,,,,,{'2.289'},35.01149106,{'1.908'},2400.025017,,,,,{'2.417'},31.13689184,,,,,,,{'2.673'},56.17506099,,,,,,,{'2.929'},66.33842587,,,,,,,{'3.057'},44.72055221,,,,,,,{'3.313'},394.3268671,,,,,,,{'3.569'},92.22706223,,,,,,,{'3.697'},127.246243,,,,,,
PRLLX,{'54.912'},0.569741726,{'54.912'},3.865226984,{'26.4'},105.544256,{'26.4'},842.9283378,{'1.416'},0.443745136,{'1.012'},1.810690165,{'0.882'},290.577683,{'0.96'},2736.645933,{'3.759'},1.92249608,{'2.676'},6.125799179,{'1.622'},2400.027664,,,{'1.777'},1.442795038,{'1.396'},6.319933891,{'1.26'},2332.28262,,,{'2.033'},2.470871925,{'1.652'},8.060767174,{'2.017'},2400.768117,,,{'2.289'},4.268785,{'1.908'},29.83035707,,,,,{'2.44'},6.831372023,{'2.036'},41.18834734,,,,,{'2.673'},6.232686043,{'2.292'},45.28432417,,,,,{'2.929'},5.721174002,{'2.636'},78.35368085,,,,,{'5.917'},4.553472996,{'2.676'},65.09705281,,,,,{'3.313'},7.107632875,{'2.932'},84.91970587,,,,,{'3.843'},12.885746,{'3.188'},310.5449238,,,,,{'3.769'},18.29878402,{'3.316'},270.29391,,,,
FVPRL,{'54.912'},0.081259966,{'54.912'},0.658899784,{'26.4'},6.845752001,{'26.4'},75.56220198,{'1.416'},0.06517911,{'1.012'},0.906399727,{'0.882'},43.0369482,{'0.862'},2400.654428,{'3.759'},0.18872714,{'2.676'},0.534555197,{'1.622'},931.274996,{'1.602'},2403.291659,{'1.777'},0.36395812,{'1.396'},2.983839273,{'1.26'},2400.052364,,,{'2.033'},0.457083941,{'1.652'},7.466765165,,,,,{'2.289'},0.747642279,{'1.908'},9.313103914,,,,,{'2.417'},2.089374781,,,,,,,{'2.673'},2.067109823,{'2.292'},20.28831196,,,,,{'2.929'},2.692668915,{'2.548'},17.17363596,,,,,{'3.057'},1.985781193,{'2.676'},22.18270802,,,,,{'3.313'},2.041051149,{'2.932'},24.20957398,,,,,{'3.843'},3.788911819,{'3.188'},34.60378313,,,,,{'3.697'},3.33008194,{'3.316'},33.03724098,,,,
FVPRLX,{'54.912'},0.166590929,{'54.912'},0.230645895,{'26.4'},13.70925689,{'26.4'},79.6328578,{'1.416'},0.098107815,{'1.012'},0.353421211,{'0.882'},54.69079614,{'0.862'},2096.215642,{'3.759'},0.14240694,{'2.676'},0.516063929,{'1.622'},377.1457138,{'1.602'},2406.324841,{'1.777'},0.761096954,{'1.396'},4.736179829,{'1.384'},2403.692649,,,{'2.033'},1.002026081,{'1.652'},9.802709818,{'1.766'},2400.314258,,,{'2.289'},2.889214993,{'1.908'},19.22971892,,,,,{'2.417'},3.03158617,{'2.036'},18.13019228,,,,,{'2.673'},3.6434412,{'2.292'},28.04313135,,,,,{'2.929'},3.898312807,{'2.548'},25.50443602,,,,,{'3.057'},5.629848003,{'2.676'},28.16205788,,,,,{'3.313'},5.975951195,{'2.932'},73.35115695,,,,,{'3.569'},5.875995159,{'3.188'},31.98293495,,,,,{'3.697'},11.06628299,{'3.316'},94.04681396,,,,
FVLPRLX,{'54.912'},0.197526932,{'54.912'},0.398624897,{'26.4'},111.7679532,{'26.4'},2405.080076,{'1.416'},0.076208115,{'1.012'},0.478455067,{'0.882'},49.33234501,{'0.862'},2042.950136,{'3.759'},0.133745909,{'2.676'},0.443922997,{'1.622'},336.7241879,{'1.582'},2400.070661,{'1.777'},0.956455946,{'1.396'},210.7138681,{'8.678'},3055.6063,{'2.188'},2400.279985,{'2.033'},2.706166029,{'1.652'},2400.014375,,,,,{'2.289'},5.036489964,{'1.908'},2400.060328,,,,,{'2.417'},7.632469893,,,,,,,{'2.673'},28.22613215,,,,,,,{'2.929'},37.00458503,,,,,,,{'3.057'},20.68595791,,,,,,,{'3.313'},25.94747019,,,,,,,{'3.569'},43.909235,,,,,,,{'3.697'},131.259562,,,,,,
FVPRLLX,{'54.912'},0.204641819,{'54.912'},0.502788067,{'26.4'},12.30642509,{'26.4'},114.1302142,{'1.416'},0.096645832,{'1.012'},0.45271492,{'0.882'},58.41802502,{'0.862'},1655.957759,{'3.759'},0.274256945,{'2.676'},0.569741964,{'1.622'},777.7525718,{'1.602'},2402.649323,{'1.777'},1.592040062,{'1.396'},5.951457977,{'1.26'},2400.023148,,,{'2.033'},2.266953945,{'1.652'},8.375808001,,,,,{'2.289'},4.617699146,{'1.908'},23.14519,,,,,{'2.417'},3.283027172,{'2.036'},33.45756197,,,,,{'2.673'},5.59326005,{'2.292'},68.7864542,,,,,{'2.929'},6.215414047,{'2.548'},127.2571709,,,,,{'3.057'},5.912043095,{'2.676'},59.14329076,,,,,{'3.313'},17.59812093,{'2.932'},69.84088492,,,,,{'3.569'},10.81700087,{'3.188'},196.2018828,,,,,{'3.697'},13.76722288,{'3.316'},172.3608048,,,,
MIN_TIME,,0.051944017,,0.089200258,,4.310688019,,75.56220198,,0.060651064,,0.333132982,,17.77633667,,594.8285418,,0.098589897,,0.301437855,,11.39371204,,119.0780141,,0.247869015,,2.473801851,,1275.762761,,2400.279985,,0.457083941,,3.545360804,,2400.04689,,,,0.747642279,,6.628601789,,2402.412395,,,,0.593572855,,9.925163746,,2401.221709,,,,0.946775913,,17.29153681,,2401.008931,,,,1.444433928,,17.17363596,,,,,,1.131433249,,22.18270802,,,,,,2.041051149,,21.26303792,,,,,,2.248599052,,27.33692622,,,,,,2.045269966,,30.0912199,,,,
