strategy;Oryx 2; ;;;;;;;SecureBillingEmail; ;;;;;;;SecureWebContainer; ;;;;;;;Wordpress3; ;;;;;;;Wordpress4; ;;;;;;;Wordpress5; ;;;;;;;Wordpress6; ;;;;;;;Wordpress7; ;;;;;;;Wordpress8; ;;;;;;;Wordpress9; ;;;;;;;Wordpress10; ;;;;;;;Wordpress11; ;;;;;;;Wordpress12; ;;;;;;
;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;;offers_20;;offers_40;;offers_250;;offers_500;
;Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs);Min Value;Time (secs)
L;{'54.912'};0.30935215950012207;{'54.912'};1.4013638496398926;{'26.4'};3.722770929336548;{'26.4'};25.97398614883423;{'1.416'};0.3763289451599121;{'1.012'};2.486238956451416;{'0.882'};16.768747091293335;{'0.862'};42.72065281867981;{'3.759'};1.650479793548584;{'2.676'};2.781620979309082;{'1.622'};10.97637414932251;{'1.582'};20.238723039627075;{'1.777'};4.324251890182495;{'1.396'};16.587249994277954;{'1.26'};2400.128118991852;;;{'2.033'};4.270127058029175;{'1.652'};81.29032397270203;;;;;{'2.289'};5.855880975723267;{'1.908'};263.82491397857666;;;;;{'2.417'};9.275075674057007;{'2.036'};1051.3527789115906;;;;;{'2.673'};23.858356952667236;{'2.292'};1257.066692829132;;;;;{'2.929'};14.391173839569092;{'2.548'};2405.3655610084534;;;;;{'3.057'};43.4700391292572;;;;;;;{'3.313'};73.78439497947693;;;;;;;{'3.569'};264.44668889045715;;;;;;;{'3.697'};73.48445391654968;;;;;;
LX;{'54.912'};0.18184590339660645;{'54.912'};0.2984790802001953;{'26.4'};1.1096150875091553;{'26.4'};3.253912925720215;{'1.416'};0.1069338321685791;{'1.012'};0.25399303436279297;{'0.882'};1.5350539684295654;{'0.862'};6.132255792617798;{'3.759'};0.07850384712219238;{'2.676'};0.13084006309509277;{'1.622'};1.2112109661102295;{'1.582'};6.959414958953857;{'1.777'};0.25823521614074707;{'1.396'};0.4124789237976074;{'1.26'};8.737074851989746;{'1.21'};40.557137966156006;{'2.033'};0.4684107303619385;{'1.652'};1.1086370944976807;{'1.512'};34.26162505149841;{'1.442'};1574.3458058834076;{'2.289'};0.8088021278381348;{'1.908'};3.657927989959717;{'1.764'};1573.2118921279907;{'1.674'};2402.6376519203186;{'2.417'};0.827049970626831;{'2.036'};1.8450779914855957;{'1.89'};277.85404682159424;;;{'2.673'};1.5980596542358398;{'2.292'};6.0414252281188965;{'2.142'};662.677227973938;;;{'2.929'};1.537527084350586;{'2.548'};6.657855272293091;{'2.394'};2403.2727601528168;;;{'3.057'};1.5468151569366455;{'2.676'};6.471487998962402;{'2.52'};2403.3274722099304;;;{'3.313'};1.5812339782714844;{'2.932'};9.736248970031738;;;;;{'3.569'};4.060384035110474;{'3.188'};22.709410905838013;;;;;{'3.697'};3.951676845550537;{'3.316'};12.220752000808716;;;;
PR;{'54.912'};0.1923367977142334;{'54.912'};0.17793679237365723;{'26.4'};1.5350587368011475;{'26.4'};4.386063098907471;{'1.416'};0.14014887809753418;{'1.012'};0.27478504180908203;{'0.882'};1.9700708389282227;{'0.862'};10.265408039093018;{'3.759'};0.3248870372772217;{'2.676'};0.5228259563446045;{'1.622'};5.226166009902954;{'1.582'};16.01490306854248;{'1.777'};0.27670979499816895;{'1.396'};1.3428080081939697;{'1.26'};8.352660894393921;{'1.21'};35.652276039123535;{'2.033'};0.4788322448730469;{'1.652'};1.8513967990875244;{'1.512'};12.5749671459198;{'1.442'};59.24325704574585;{'2.289'};1.3973162174224854;{'1.908'};2.197279930114746;{'1.764'};20.62479305267334;{'1.674'};106.33106398582458;{'2.417'};0.547997236251831;{'2.036'};2.5957627296447754;{'1.89'};24.360994815826416;{'1.79'};140.75755310058594;{'2.673'};0.9757542610168457;{'2.292'};3.7343337535858154;{'2.142'};26.373061895370483;{'2.022'};255.1387619972229;{'2.929'};1.8044238090515137;{'2.548'};3.217602014541626;{'2.394'};34.38804316520691;{'2.254'};954.2591869831085;{'3.057'};1.3676958084106445;{'2.676'};4.749468803405762;{'2.52'};27.946690797805786;{'2.37'};2400.0995178222656;{'3.313'};2.5862300395965576;{'2.932'};10.964259147644043;{'2.772'};51.20533204078674;;;{'3.569'};3.279895782470703;{'3.188'};8.484750270843506;{'3.024'};36.80577778816223;;;{'3.697'};3.24703311920166;{'3.316'};4.383067846298218;{'3.15'};54.881345987319946;;
FVL;{'54.912'};0.15224099159240723;{'54.912'};0.18148303031921387;{'26.4'};1.0784971714019775;{'26.4'};2.6742570400238037;{'1.416'};0.06671571731567383;{'1.012'};0.09459495544433594;{'0.882'};1.3873121738433838;{'0.862'};5.882269382476807;{'3.759'};0.05044198036193848;{'2.676'};0.09114313125610352;{'1.622'};0.9350681304931641;{'1.582'};3.739694833755493;{'1.777'};0.2813549041748047;{'1.396'};1.0652101039886475;{'1.26'};17.91029405593872;{'1.21'};392.1645350456238;{'2.033'};0.4201529026031494;{'1.652'};3.777808904647827;{'1.512'};300.50750708580017;{'1.442'};2401.01767206192;{'2.289'};1.9048638343811035;{'1.908'};4.09976601600647;{'1.764'};2400.029067993164;;;{'2.417'};0.9997200965881348;{'2.036'};8.509106159210205;;;;;{'2.673'};4.345892906188965;{'2.292'};13.843244075775146;;;;;{'2.929'};3.114917039871216;{'2.548'};23.998848915100098;;;;;{'3.057'};3.0351359844207764;{'2.676'};23.521482944488525;;;;;{'3.313'};3.145530939102173;{'2.932'};66.00426506996155;;;;;{'3.569'};3.085456132888794;{'3.188'};83.48564100265503;;;;;{'3.697'};4.6231369972229;{'3.316'};61.12959599494934;;;;
FVLX;{'54.912'};0.16137075424194336;{'54.912'};0.2931962013244629;{'26.4'};0.8093607425689697;{'26.4'};2.5028839111328125;{'1.416'};0.07667994499206543;{'1.012'};0.1359851360321045;{'0.882'};1.2465300559997559;{'0.862'};5.741892099380493;{'3.759'};0.05196094512939453;{'2.676'};0.08727812767028809;{'1.622'};0.9224510192871094;{'1.582'};3.2741808891296387;{'1.777'};0.314227819442749;{'1.396'};0.7894961833953857;{'1.26'};5.383414030075073;{'1.21'};39.068718910217285;{'2.033'};0.4066009521484375;{'1.652'};1.5525360107421875;{'1.512'};24.020294189453125;{'1.442'};1939.8840010166168;{'2.289'};0.8209640979766846;{'1.908'};4.1670331954956055;{'1.764'};558.0417721271515;{'1.674'};2401.060432910919;{'2.417'};0.8022270202636719;{'2.036'};3.3773996829986572;{'1.89'};1088.6940438747406;;;{'2.673'};1.451239824295044;{'2.292'};5.010976076126099;{'2.142'};795.4975616931915;;;{'2.929'};1.6133902072906494;{'2.548'};10.143626928329468;{'2.394'};2402.7815301418304;;;{'3.057'};1.3243019580841064;{'2.676'};6.955867767333984;;;;;{'3.313'};3.9026708602905273;{'2.932'};8.915620803833008;;;;;{'3.569'};3.6923279762268066;{'3.188'};19.401062726974487;;;;;{'3.697'};3.106766939163208;{'3.316'};18.33130979537964;;;;
FVPR;{'54.912'};0.11071372032165527;{'54.912'};0.13848400115966797;{'26.4'};0.8170778751373291;{'26.4'};2.5071778297424316;{'1.416'};0.06376099586486816;{'1.012'};0.09016895294189453;{'0.882'};1.501033067703247;{'0.862'};5.9075987339019775;{'3.759'};0.047740936279296875;{'2.676'};0.09170722961425781;{'1.622'};1.110840082168579;{'1.582'};6.940347909927368;{'1.777'};0.25747203826904297;{'1.396'};0.3558499813079834;{'1.26'};6.834488868713379;{'1.21'};24.9496488571167;{'2.033'};0.26479101181030273;{'1.652'};0.4922471046447754;{'1.512'};9.50811219215393;{'1.442'};46.47024059295654;{'2.289'};0.43560099601745605;{'1.908'};0.8947980403900146;{'1.764'};12.72191309928894;{'1.674'};58.45704770088196;{'2.417'};0.4000887870788574;{'2.036'};0.7144598960876465;{'1.89'};14.50724983215332;{'1.79'};47.88622307777405;{'2.673'};0.9021162986755371;{'2.292'};1.6591181755065918;{'2.142'};20.813881158828735;{'2.022'};97.92330598831177;{'2.929'};0.9063270092010498;{'2.548'};1.375277042388916;{'2.394'};19.895435094833374;{'2.254'};180.4871790409088;{'3.057'};0.9952781200408936;{'2.676'};1.6185190677642822;{'2.52'};29.92779779434204;{'2.37'};109.50635814666748;{'3.313'};1.068782091140747;{'2.932'};2.0035500526428223;{'2.772'};21.94138216972351;{'2.602'};148.8746931552887;{'3.569'};2.1542317867279053;{'3.188'};2.488636016845703;{'3.024'};27.975019931793213;{'2.834'};180.83413195610046;{'3.697'};1.2962908744812012;{'3.316'};2.8890039920806885;{'3.15'};40.92923307418823;{'2.95'};258.88253116607666
LLX;{'54.912'};0.9062380790710449;{'54.912'};1.3177547454833984;{'26.4'};59.2776882648468;{'26.4'};2401.6837360858917;{'1.416'};0.3208320140838623;{'1.012'};0.5498523712158203;{'0.882'};3.47249698638916;{'0.862'};22.78400206565857;{'3.759'};0.583961009979248;{'2.676'};1.1953940391540527;{'1.622'};4.020476818084717;{'1.582'};28.734002113342285;{'1.777'};0.7241380214691162;{'1.396'};1.027942180633545;{'1.26'};14.162715911865234;{'1.21'};78.038015127182;{'2.033'};1.240684986114502;{'1.652'};2.464246988296509;{'1.512'};53.224348068237305;{'1.442'};439.4226098060608;{'2.289'};1.4173800945281982;{'1.908'};4.805851936340332;{'1.764'};411.4115719795227;{'1.674'};1933.3703758716583;{'2.417'};1.6726059913635254;{'2.036'};7.949624061584473;{'1.89'};464.0913760662079;{'1.79'};2400.941352367401;{'2.673'};2.473881244659424;{'2.292'};9.454866886138916;{'2.142'};1302.2029230594635;{'2.022'};2400.1646869182587;{'2.929'};4.554923057556152;{'2.548'};10.719419956207275;{'2.394'};2402.8478729724884;;;{'3.057'};3.771714925765991;{'2.676'};15.980866193771362;{'2.52'};2400.0498740673065;;;{'3.313'};5.8594629764556885;{'2.932'};12.557985067367554;{'2.772'};2402.5170109272003;;;{'3.569'};6.236809968948364;{'3.188'};28.37245488166809;{'3.024'};2401.9008400440216;;;{'3.697'};10.110543966293335;{'3.316'};42.20688772201538;{'3.15'};2402.4433381557465;;
LPR;{'54.912'};0.31983304023742676;{'54.912'};0.5573968887329102;{'26.4'};19.519925117492676;{'26.4'};13.718122959136963;{'1.416'};0.26514482498168945;{'1.012'};0.47551584243774414;{'0.882'};4.12802791595459;{'0.862'};15.535140991210938;{'3.759'};0.4795191287994385;{'2.676'};1.049980878829956;{'1.622'};4.949145078659058;{'1.582'};19.983917713165283;{'1.777'};0.5759029388427734;{'1.396'};2.36147403717041;{'1.26'};10.508417844772339;{'1.21'};137.77315306663513;{'2.033'};3.6653990745544434;{'1.652'};3.1380438804626465;{'1.512'};29.084408044815063;{'1.442'};710.6550529003143;{'2.289'};4.824269771575928;{'1.908'};4.670846939086914;{'1.764'};123.6579909324646;{'1.674'};720.0500130653381;{'2.417'};3.876599073410034;{'2.036'};4.803120136260986;{'1.89'};297.5540180206299;{'1.79'};627.7753207683563;{'2.673'};4.055932283401489;{'2.292'};6.2512383460998535;{'2.142'};462.5845880508423;{'2.022'};2400.0936439037323;{'2.929'};6.765239000320435;{'2.548'};22.233279943466187;{'2.394'};2400.036281824112;;;{'3.057'};14.809240818023682;{'2.676'};13.06283712387085;{'2.52'};379.2300500869751;;;{'3.313'};7.034369945526123;{'2.932'};55.036510944366455;{'2.772'};684.3339631557465;;;{'3.569'};21.022429943084717;{'3.188'};60.86027789115906;{'3.024'};2400.0493698120117;;;{'3.697'};10.12764286994934;{'3.316'};26.5235698223114;;;;
PRL;{'54.912'};0.23685479164123535;{'54.912'};0.2507319450378418;{'26.4'};1.9359791278839111;{'26.4'};4.619920015335083;{'1.416'};0.160963773727417;{'1.012'};0.26663970947265625;{'0.882'};1.9593610763549805;{'0.862'};11.250667095184326;{'3.759'};0.3249678611755371;{'2.676'};0.5613739490509033;{'1.622'};5.225468873977661;{'1.582'};16.921072244644165;{'1.777'};0.2510969638824463;{'1.396'};0.4217569828033447;{'1.26'};6.3913679122924805;{'1.21'};20.36778688430786;{'2.033'};0.5142769813537598;{'1.652'};1.3888981342315674;{'1.512'};10.633322954177856;{'1.442'};36.41791796684265;{'2.289'};0.5097432136535645;{'1.908'};1.9379088878631592;{'1.764'};23.012217044830322;{'1.674'};48.8935329914093;{'2.417'};0.5412311553955078;{'2.036'};2.469881772994995;{'1.89'};14.675012111663818;{'1.79'};45.92693471908569;{'2.673'};1.3151631355285645;{'2.292'};2.589402198791504;{'2.142'};22.7842800617218;{'2.022'};59.81132483482361;{'2.929'};1.3323662281036377;{'2.548'};3.1114859580993652;{'2.394'};30.34417414665222;{'2.254'};80.43324613571167;{'3.057'};1.1976101398468018;{'2.676'};5.824934959411621;{'2.52'};35.95411205291748;{'2.37'};72.5276370048523;{'3.313'};1.9332869052886963;{'2.932'};3.711871862411499;{'2.772'};32.197619915008545;{'2.602'};117.04989218711853;{'3.569'};1.6659560203552246;{'3.188'};5.390818119049072;{'3.024'};46.27897381782532;{'2.834'};109.91645789146423;{'3.697'};0.9807708263397217;{'3.316'};6.3104729652404785;{'3.15'};46.590080976486206;{'2.95'};148.98916006088257
PRLX;{'54.912'};0.4165170192718506;{'54.912'};0.34586381912231445;{'26.4'};2.834857225418091;{'26.4'};5.972190856933594;{'1.416'};0.2172858715057373;{'1.012'};0.5067968368530273;{'0.882'};2.740281105041504;{'0.862'};10.898153066635132;{'3.759'};0.4342200756072998;{'2.676'};0.7230737209320068;{'1.622'};5.526129722595215;{'1.582'};18.07222604751587;{'1.777'};0.4807426929473877;{'1.396'};0.9713330268859863;{'1.26'};8.071937084197998;{'1.21'};24.51973032951355;{'2.033'};0.6577792167663574;{'1.652'};3.2977750301361084;{'1.512'};9.978552103042603;{'1.442'};46.72599816322327;{'2.289'};1.8274509906768799;{'1.908'};4.69455623626709;{'1.764'};16.63628077507019;{'1.674'};59.28688311576843;{'2.417'};7.032294988632202;{'2.036'};7.7376720905303955;{'1.89'};37.82284903526306;{'1.79'};70.5554871559143;{'2.673'};4.822961091995239;{'2.292'};6.907463073730469;{'2.142'};50.09323287010193;{'2.022'};931.4062011241913;{'2.929'};7.287204265594482;{'2.548'};10.40464186668396;{'2.394'};66.76697993278503;{'2.254'};152.4358253479004;{'3.057'};6.963774919509888;{'2.676'};13.76888108253479;{'2.52'};83.1362087726593;{'2.37'};191.77895784378052;{'3.313'};9.611475944519043;{'2.932'};21.58101511001587;{'2.772'};66.45679020881653;{'2.602'};1757.635470867157;{'3.569'};9.333938121795654;{'3.188'};32.700608015060425;{'3.024'};85.2137701511383;{'2.834'};168.85043478012085;{'3.697'};14.304280996322632;{'3.316'};23.34706687927246;{'3.15'};89.14598202705383;{'2.95'};2401.7463068962097
