strategy;Oryx 2; ; ;;;;;;;;;;;;;SecureBillingEmail; ; ;;;;;;;;;;;;;WebIntrutionDetection; ; ;;;;;;;;;;;;;Wordpress3; ; ;;;;;;;;;;;;;Wordpress4; ; ;;;;;;;;;;;;;Wordpress5; ; ;;;;;;;;;;;;;Wordpress6; ; ;;;;;;;;;;;;;Wordpress7; ; ;;;;;;;;;;;;;Wordpress8; ; ;;;;;;;;;;;;
;offers_20;;;offers_40;;;offers_100;;;offers_250;;;offers_500;;;offers_20;;;offers_40;;;offers_100;;;offers_250;;;offers_500;;;offers_20;;;offers_40;;;offers_100;;;offers_250;;;offers_500;;;offers_20;;;offers_40;;;offers_100;;;offers_250;;;offers_500;;;offers_20;;;offers_40;;;offers_100;;;offers_250;;;offers_500;;;offers_20;;;offers_40;;;offers_100;;;offers_250;;;offers_500;;;offers_20;;;offers_40;;;offers_100;;;offers_250;;;offers_500;;;offers_20;;;offers_40;;;offers_100;;;offers_250;;;offers_500;;;offers_20;;;offers_40;;;offers_100;;;offers_250;;;offers_500;;
;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std;Value;Mean;Std
fixvar_offerNew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
price_fixvar_redundant_offerOld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
price_fixvar_redundant_offerNew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
price_fixvar_offerOld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
price_fixvar_offerNew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
price_fixvar_redundant_byLoad_offerOld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
price_fixvar_redundant_byLoad_offerNew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
price_fixvar_redundant_lex_offerOld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
price_fixvar_redundant_lex_offerNew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
simple_oneToOne_offerOld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
simple_oneToOne_offerNew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
row_lex_offerOld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
row_lex_offerNew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
row_lex_price_offerOld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
row_lex_price_offerNew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
