strategy,Oryx 2, ,,,,,,,SecureBillingEmail, ,,,,,,,SecureWebContainer, ,,,,,,,Wordpress3, ,,,,,,,Wordpress4, ,,,,,,,Wordpress5, ,,,,,,,Wordpress6, ,,,,,,,Wordpress7, ,,,,,,,Wordpress8, ,,,,,,,Wordpress9, ,,,,,,,Wordpress10, ,,,,,,,Wordpress11, ,,,,,,,Wordpress12, ,,,,,,
,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,,offers_20,,offers_40,,offers_250,,offers_500,
,Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs),Min Value,Time (secs)
L,{'54.912'},0.30935216,{'54.912'},1.40136385,{'26.4'},3.722770929,{'26.4'},25.97398615,{'1.416'},0.376328945,{'1.012'},2.486238956,{'0.882'},16.76874709,{'0.862'},42.72065282,{'3.759'},1.650479794,{'2.676'},2.781620979,{'1.622'},10.97637415,{'1.582'},20.23872304,{'1.777'},4.32425189,{'1.396'},16.58724999,{'1.26'},2400.128119,,,{'2.033'},4.270127058,{'1.652'},81.29032397,,,,,{'2.289'},5.855880976,{'1.908'},263.824914,,,,,{'2.417'},9.275075674,{'2.036'},1051.352779,,,,,{'2.673'},23.85835695,{'2.292'},1257.066693,,,,,{'2.929'},14.39117384,{'2.548'},2405.365561,,,,,{'3.057'},43.47003913,,,,,,,{'3.313'},73.78439498,,,,,,,{'3.569'},264.4466889,,,,,,,{'3.697'},73.48445392,,,,,,
LX,{'54.912'},0.181845903,{'54.912'},0.29847908,{'26.4'},1.109615088,{'26.4'},3.253912926,{'1.416'},0.106933832,{'1.012'},0.253993034,{'0.882'},1.535053968,{'0.862'},6.132255793,{'3.759'},0.078503847,{'2.676'},0.130840063,{'1.622'},1.211210966,{'1.582'},6.959414959,{'1.777'},0.258235216,{'1.396'},0.412478924,{'1.26'},8.737074852,{'1.21'},40.55713797,{'2.033'},0.46841073,{'1.652'},1.108637094,{'1.512'},34.26162505,{'1.442'},1574.345806,{'2.289'},0.808802128,{'1.908'},3.65792799,{'1.764'},1573.211892,{'1.674'},2402.637652,{'2.417'},0.827049971,{'2.036'},1.845077991,{'1.89'},277.8540468,,,{'2.673'},1.598059654,{'2.292'},6.041425228,{'2.142'},662.677228,,,{'2.929'},1.537527084,{'2.548'},6.657855272,{'2.394'},2403.27276,,,{'3.057'},1.546815157,{'2.676'},6.471487999,{'2.52'},2403.327472,,,{'3.313'},1.581233978,{'2.932'},9.73624897,,,,,{'3.569'},4.060384035,{'3.188'},22.70941091,,,,,{'3.697'},3.951676846,{'3.316'},12.220752,,,,
PR,{'54.912'},0.192336798,{'54.912'},0.177936792,{'26.4'},1.535058737,{'26.4'},4.386063099,{'1.416'},0.140148878,{'1.012'},0.274785042,{'0.882'},1.970070839,{'0.862'},10.26540804,{'3.759'},0.324887037,{'2.676'},0.522825956,{'1.622'},5.22616601,{'1.582'},16.01490307,{'1.777'},0.276709795,{'1.396'},1.342808008,{'1.26'},8.352660894,{'1.21'},35.65227604,{'2.033'},0.478832245,{'1.652'},1.851396799,{'1.512'},12.57496715,{'1.442'},59.24325705,{'2.289'},1.397316217,{'1.908'},2.19727993,{'1.764'},20.62479305,{'1.674'},106.331064,{'2.417'},0.547997236,{'2.036'},2.59576273,{'1.89'},24.36099482,{'1.79'},140.7575531,{'2.673'},0.975754261,{'2.292'},3.734333754,{'2.142'},26.3730619,{'2.022'},255.138762,{'2.929'},1.804423809,{'2.548'},3.217602015,{'2.394'},34.38804317,{'2.254'},954.259187,{'3.057'},1.367695808,{'2.676'},4.749468803,{'2.52'},27.9466908,{'2.37'},2400.099518,{'3.313'},2.58623004,{'2.932'},10.96425915,{'2.772'},51.20533204,,,{'3.569'},3.279895782,{'3.188'},8.484750271,{'3.024'},36.80577779,,,{'3.697'},3.247033119,{'3.316'},4.383067846,{'3.15'},54.88134599,,
FVL,{'54.912'},0.152240992,{'54.912'},0.18148303,{'26.4'},1.078497171,{'26.4'},2.67425704,{'1.416'},0.066715717,{'1.012'},0.094594955,{'0.882'},1.387312174,{'0.862'},5.882269382,{'3.759'},0.05044198,{'2.676'},0.091143131,{'1.622'},0.93506813,{'1.582'},3.739694834,{'1.777'},0.281354904,{'1.396'},1.065210104,{'1.26'},17.91029406,{'1.21'},392.164535,{'2.033'},0.420152903,{'1.652'},3.777808905,{'1.512'},300.5075071,{'1.442'},2401.017672,{'2.289'},1.904863834,{'1.908'},4.099766016,{'1.764'},2400.029068,,,{'2.417'},0.999720097,{'2.036'},8.509106159,,,,,{'2.673'},4.345892906,{'2.292'},13.84324408,,,,,{'2.929'},3.11491704,{'2.548'},23.99884892,,,,,{'3.057'},3.035135984,{'2.676'},23.52148294,,,,,{'3.313'},3.145530939,{'2.932'},66.00426507,,,,,{'3.569'},3.085456133,{'3.188'},83.485641,,,,,{'3.697'},4.623136997,{'3.316'},61.12959599,,,,
FVLX,{'54.912'},0.161370754,{'54.912'},0.293196201,{'26.4'},0.809360743,{'26.4'},2.502883911,{'1.416'},0.076679945,{'1.012'},0.135985136,{'0.882'},1.246530056,{'0.862'},5.741892099,{'3.759'},0.051960945,{'2.676'},0.087278128,{'1.622'},0.922451019,{'1.582'},3.274180889,{'1.777'},0.314227819,{'1.396'},0.789496183,{'1.26'},5.38341403,{'1.21'},39.06871891,{'2.033'},0.406600952,{'1.652'},1.552536011,{'1.512'},24.02029419,{'1.442'},1939.884001,{'2.289'},0.820964098,{'1.908'},4.167033195,{'1.764'},558.0417721,{'1.674'},2401.060433,{'2.417'},0.80222702,{'2.036'},3.377399683,{'1.89'},1088.694044,,,{'2.673'},1.451239824,{'2.292'},5.010976076,{'2.142'},795.4975617,,,{'2.929'},1.613390207,{'2.548'},10.14362693,{'2.394'},2402.78153,,,{'3.057'},1.324301958,{'2.676'},6.955867767,,,,,{'3.313'},3.90267086,{'2.932'},8.915620804,,,,,{'3.569'},3.692327976,{'3.188'},19.40106273,,,,,{'3.697'},3.106766939,{'3.316'},18.3313098,,,,
FVPR,{'54.912'},0.11071372,{'54.912'},0.138484001,{'26.4'},0.817077875,{'26.4'},2.50717783,{'1.416'},0.063760996,{'1.012'},0.090168953,{'0.882'},1.501033068,{'0.862'},5.907598734,{'3.759'},0.047740936,{'2.676'},0.09170723,{'1.622'},1.110840082,{'1.582'},6.94034791,{'1.777'},0.257472038,{'1.396'},0.355849981,{'1.26'},6.834488869,{'1.21'},24.94964886,{'2.033'},0.264791012,{'1.652'},0.492247105,{'1.512'},9.508112192,{'1.442'},46.47024059,{'2.289'},0.435600996,{'1.908'},0.89479804,{'1.764'},12.7219131,{'1.674'},58.4570477,{'2.417'},0.400088787,{'2.036'},0.714459896,{'1.89'},14.50724983,{'1.79'},47.88622308,{'2.673'},0.902116299,{'2.292'},1.659118176,{'2.142'},20.81388116,{'2.022'},97.92330599,{'2.929'},0.906327009,{'2.548'},1.375277042,{'2.394'},19.89543509,{'2.254'},180.487179,{'3.057'},0.99527812,{'2.676'},1.618519068,{'2.52'},29.92779779,{'2.37'},109.5063581,{'3.313'},1.068782091,{'2.932'},2.003550053,{'2.772'},21.94138217,{'2.602'},148.8746932,{'3.569'},2.154231787,{'3.188'},2.488636017,{'3.024'},27.97501993,{'2.834'},180.834132,{'3.697'},1.296290874,{'3.316'},2.889003992,{'3.15'},40.92923307,{'2.95'},258.8825312
LLX,{'54.912'},0.906238079,{'54.912'},1.317754745,{'26.4'},59.27768826,{'26.4'},2401.683736,{'1.416'},0.320832014,{'1.012'},0.549852371,{'0.882'},3.472496986,{'0.862'},22.78400207,{'3.759'},0.58396101,{'2.676'},1.195394039,{'1.622'},4.020476818,{'1.582'},28.73400211,{'1.777'},0.724138021,{'1.396'},1.027942181,{'1.26'},14.16271591,{'1.21'},78.03801513,{'2.033'},1.240684986,{'1.652'},2.464246988,{'1.512'},53.22434807,{'1.442'},439.4226098,{'2.289'},1.417380095,{'1.908'},4.805851936,{'1.764'},411.411572,{'1.674'},1933.370376,{'2.417'},1.672605991,{'2.036'},7.949624062,{'1.89'},464.0913761,{'1.79'},2400.941352,{'2.673'},2.473881245,{'2.292'},9.454866886,{'2.142'},1302.202923,{'2.022'},2400.164687,{'2.929'},4.554923058,{'2.548'},10.71941996,{'2.394'},2402.847873,,,{'3.057'},3.771714926,{'2.676'},15.98086619,{'2.52'},2400.049874,,,{'3.313'},5.859462976,{'2.932'},12.55798507,{'2.772'},2402.517011,,,{'3.569'},6.236809969,{'3.188'},28.37245488,{'3.024'},2401.90084,,,{'3.697'},10.11054397,{'3.316'},42.20688772,{'3.15'},2402.443338,,
LPR,{'54.912'},0.31983304,{'54.912'},0.557396889,{'26.4'},19.51992512,{'26.4'},13.71812296,{'1.416'},0.265144825,{'1.012'},0.475515842,{'0.882'},4.128027916,{'0.862'},15.53514099,{'3.759'},0.479519129,{'2.676'},1.049980879,{'1.622'},4.949145079,{'1.582'},19.98391771,{'1.777'},0.575902939,{'1.396'},2.361474037,{'1.26'},10.50841784,{'1.21'},137.7731531,{'2.033'},3.665399075,{'1.652'},3.13804388,{'1.512'},29.08440804,{'1.442'},710.6550529,{'2.289'},4.824269772,{'1.908'},4.670846939,{'1.764'},123.6579909,{'1.674'},720.0500131,{'2.417'},3.876599073,{'2.036'},4.803120136,{'1.89'},297.554018,{'1.79'},627.7753208,{'2.673'},4.055932283,{'2.292'},6.251238346,{'2.142'},462.5845881,{'2.022'},2400.093644,{'2.929'},6.765239,{'2.548'},22.23327994,{'2.394'},2400.036282,,,{'3.057'},14.80924082,{'2.676'},13.06283712,{'2.52'},379.2300501,,,{'3.313'},7.034369946,{'2.932'},55.03651094,{'2.772'},684.3339632,,,{'3.569'},21.02242994,{'3.188'},60.86027789,{'3.024'},2400.04937,,,{'3.697'},10.12764287,{'3.316'},26.52356982,,,,
PRL,{'54.912'},0.236854792,{'54.912'},0.250731945,{'26.4'},1.935979128,{'26.4'},4.619920015,{'1.416'},0.160963774,{'1.012'},0.266639709,{'0.882'},1.959361076,{'0.862'},11.2506671,{'3.759'},0.324967861,{'2.676'},0.561373949,{'1.622'},5.225468874,{'1.582'},16.92107224,{'1.777'},0.251096964,{'1.396'},0.421756983,{'1.26'},6.391367912,{'1.21'},20.36778688,{'2.033'},0.514276981,{'1.652'},1.388898134,{'1.512'},10.63332295,{'1.442'},36.41791797,{'2.289'},0.509743214,{'1.908'},1.937908888,{'1.764'},23.01221704,{'1.674'},48.89353299,{'2.417'},0.541231155,{'2.036'},2.469881773,{'1.89'},14.67501211,{'1.79'},45.92693472,{'2.673'},1.315163136,{'2.292'},2.589402199,{'2.142'},22.78428006,{'2.022'},59.81132483,{'2.929'},1.332366228,{'2.548'},3.111485958,{'2.394'},30.34417415,{'2.254'},80.43324614,{'3.057'},1.19761014,{'2.676'},5.824934959,{'2.52'},35.95411205,{'2.37'},72.527637,{'3.313'},1.933286905,{'2.932'},3.711871862,{'2.772'},32.19761992,{'2.602'},117.0498922,{'3.569'},1.66595602,{'3.188'},5.390818119,{'3.024'},46.27897382,{'2.834'},109.9164579,{'3.697'},0.980770826,{'3.316'},6.310472965,{'3.15'},46.59008098,{'2.95'},148.9891601
PRLX,{'54.912'},0.416517019,{'54.912'},0.345863819,{'26.4'},2.834857225,{'26.4'},5.972190857,{'1.416'},0.217285872,{'1.012'},0.506796837,{'0.882'},2.740281105,{'0.862'},10.89815307,{'3.759'},0.434220076,{'2.676'},0.723073721,{'1.622'},5.526129723,{'1.582'},18.07222605,{'1.777'},0.480742693,{'1.396'},0.971333027,{'1.26'},8.071937084,{'1.21'},24.51973033,{'2.033'},0.657779217,{'1.652'},3.29777503,{'1.512'},9.978552103,{'1.442'},46.72599816,{'2.289'},1.827450991,{'1.908'},4.694556236,{'1.764'},16.63628078,{'1.674'},59.28688312,{'2.417'},7.032294989,{'2.036'},7.737672091,{'1.89'},37.82284904,{'1.79'},70.55548716,{'2.673'},4.822961092,{'2.292'},6.907463074,{'2.142'},50.09323287,{'2.022'},931.4062011,{'2.929'},7.287204266,{'2.548'},10.40464187,{'2.394'},66.76697993,{'2.254'},152.4358253,{'3.057'},6.96377492,{'2.676'},13.76888108,{'2.52'},83.13620877,{'2.37'},191.7789578,{'3.313'},9.611475945,{'2.932'},21.58101511,{'2.772'},66.45679021,{'2.602'},1757.635471,{'3.569'},9.333938122,{'3.188'},32.70060802,{'3.024'},85.21377015,{'2.834'},168.8504348,{'3.697'},14.304281,{'3.316'},23.34706688,{'3.15'},89.14598203,{'2.95'},2401.746307
